Language,Model,Feature,Importance
js,random_forest, => {,0.00769551282051282
js,random_forest,){ co,0.007650712458896603
js,random_forest, an,0.007644193061840119
js,random_forest, ai-,0.007513958810068649
js,random_forest,o ,0.007416641656662663
js,random_forest, { ,0.007032010684390715
js,gradient_boost, { con,0.25706428323814356
js,gradient_boost, { co,0.24417174008064935
js,gradient_boost, { c,0.1315877068292629
js,gradient_boost,s ,0.047507917826182224
js,gradient_boost, =,0.03933511500765239
js,gradient_boost,ogo,0.03228552278068412
js,gradient_boost,ser,0.026218538532828746
js,gradient_boost,onst,0.021396641440899727
js,gradient_boost,ap((,0.021160128784474236
js,gradient_boost, // r,0.01735720265361042
js,gradient_boost,) => ,0.01715168397723829
js,gradient_boost,onst ,0.016010092917528113
js,gradient_boost,ta =,0.013928598595565281
js,gradient_boost,ser ,0.01153042585315335
js,gradient_boost,nd,0.011331860207520755
js,gradient_boost,ti,0.009406420289728285
js,gradient_boost,data,0.00924298621090362
js,gradient_boost,ffec,0.0075129986622822255
js,gradient_boost,(user,0.006268212629260026
js,gradient_boost,} from,0.006125538734487711
js,xgboost, = ,0.19403362274169922
js,xgboost, /,0.10017149895429611
js,xgboost, and,0.07466800510883331
js,xgboost,) =,0.07038689404726028
js,xgboost, =,0.06929870694875717
js,xgboost,um,0.06303327530622482
js,xgboost, an,0.04848616197705269
js,xgboost,s ,0.043256934732198715
js,xgboost,: ,0.042540621012449265
js,xgboost, { c,0.03663913905620575
js,xgboost, if ,0.02760385535657406
js,xgboost,ing,0.02367355115711689
js,xgboost,)} <,0.022006306797266006
js,xgboost,", ",0.01905798725783825
js,xgboost,le.,0.018260689452290535
js,xgboost, { ,0.013867964968085289
js,xgboost,or ,0.013301110826432705
js,xgboost, } },0.012441718950867653
js,xgboost,h ,0.01136042270809412
js,xgboost,)},0.011351076886057854
